error=0.05757676152040451, alpha=4.99256000828824Boosting round: 5, Accuracy: 0.1174
error=0.06774072277812504, alpha=4.819148030557581Boosting round: 6, Accuracy: 0.1171
error=0.05872774548241742, alpha=4.971544718786561Boosting round: 7, Accuracy: 0.1173
error=0.053832559149825585, alpha=5.063765656736799Boosting round: 8, Accuracy: 0.117
error=0.03396682628505511, alpha=5.5450384014637715Boosting round: 9, Accuracy: 0.1168
error=0.08343404857563982, alpha=4.5938021197656145Boosting round: 10, Accuracy: 0.1161
error=0.0579303470417528, alpha=4.986062414949053Boosting round: 11, Accuracy: 0.1161
error=0.04406542333155733, alpha=5.274238630113536Boosting round: 12, Accuracy: 0.1153
error=0.07932212040352324, alpha=4.648817766142286Boosting round: 13, Accuracy: 0.1151
error=0.07529503260879512, alpha=4.7052851451811Boosting round: 14, Accuracy: 0.1153
error=0.0794966364735213, alpha=4.646430519767747Boosting round: 15, Accuracy: 0.1156
error=0.0933673230200738, alpha=4.470420535209837Boosting round: 16, Accuracy: 0.1149
error=0.0685066106108137, alpha=4.807083424736161Boosting round: 17, Accuracy: 0.1156
error=0.07760469999072292, alpha=4.672570458639017Boosting round: 18, Accuracy: 0.1154
error=0.06702296020755474, alpha=4.830569918518173Boosting round: 19, Accuracy: 0.1157
error=0.09336333460599855, alpha=4.4704676527149205Boosting round: 20, Accuracy: 0.1146
error=0.06614776390864267, alpha=4.844651710936293Boosting round: 21, Accuracy: 0.1136
error=0.0958073414786214, alpha=4.441927717426241Boosting round: 22, Accuracy: 0.1141
error=0.0539280289997576, alpha=5.0618928614751155Boosting round: 23, Accuracy: 0.1134
error=0.09251073441167787, alpha=4.4805816293732725Boosting round: 24, Accuracy: 0.1135
error=0.04857354862080949, alpha=5.172107847854894Boosting round: 25, Accuracy: 0.1137
error=0.07497447251183761, alpha=4.709898222662695Boosting round: 26, Accuracy: 0.1135
error=0.061948740097702265, alpha=4.914721902470357Boosting round: 27, Accuracy: 0.1133
error=0.09708696165526118, alpha=4.427243734278024Boosting round: 28, Accuracy: 0.1132
error=0.09517750701195586, alpha=4.449219718455269Boosting round: 29, Accuracy: 0.1129
error=0.04955745800881892, alpha=5.151019522879466Boosting round: 30, Accuracy: 0.112
error=0.039845374255018405, alpha=5.379312597734269Boosting round: 31, Accuracy: 0.1121
error=0.009038008767205449, alpha=6.894461875951056Boosting round: 32, Accuracy: 0.112
error=0.002192489636608794, alpha=8.317747241150695Boosting round: 33, Accuracy: 0.1112
error=0.07091499911685167, alpha=4.769942844854645Boosting round: 34, Accuracy: 0.1114
error=0.016748305675623902, alpha=6.269792612373824Boosting round: 35, Accuracy: 0.1107
error=0.00865414316371905, alpha=6.938249863862416Boosting round: 36, Accuracy: 0.1102
error=0.0787211768141756, alpha=4.657075105391255error=0.2938, alpha=3.0742237970907285Boosting round: 1, Accuracy: 0.1944
error=0.12013481680010504, alpha=4.188378686670433Boosting round: 2, Accuracy: 0.1269
error=0.21113787261487504, alpha=3.5153047946189315Boosting round: 3, Accuracy: 0.1547
error=0.11981883737188238, alpha=4.191371416757334Boosting round: 4, Accuracy: 0.1682
error=0.17412654632895022, alpha=3.753883822703414Boosting round: 5, Accuracy: 0.176
error=0.15031199214053878, alpha=3.9293807282607225Boosting round: 6, Accuracy: 0.1789
error=0.1944444518512142, alpha=3.6186102109808114Boosting round: 7, Accuracy: 0.1814
error=0.17807568169095447, alpha=3.7266642600014515Boosting round: 8, Accuracy: 0.1863
error=0.1745059611942783, alpha=3.7512477167260636Boosting round: 9, Accuracy: 0.1913
error=0.1859077208756821, alpha=3.674047875652503Boosting round: 10, Accuracy: 0.1919
error=0.19588491756502271, alpha=3.6094396421220933Boosting round: 11, Accuracy: 0.1952
error=0.1613115087524814, alpha=3.8457265965297314Boosting round: 12, Accuracy: 0.199
error=0.1666334024818066, alpha=3.8069020110244076Boosting round: 13, Accuracy: 0.1975
error=0.5159600000000001, alpha=2.1333628821691355Boosting round: 1, Accuracy: 0.1819
error=0.3531586544700818, alpha=2.8024082241490604Boosting round: 2, Accuracy: 0.1404
error=0.2550772035809077, alpha=3.2689389029013247Boosting round: 3, Accuracy: 0.1519
